listing_id,room_type,description,price,from_date,to_date,landlord_id,longitude,latitude
258253,Entire home/apt,Rental unit in Chicago · ★4.90 · 1 bedroom · 1 bed · 1 bath,48,2023-12-18,2024-12-16,1358243,-87.6825,42.0076
1854000,Entire home/apt,Rental unit in Chicago · ★4.58 · 1 bedroom · 1 bed · 1 bath,364,2023-12-18,2024-12-16,9471604,-87.64311,41.93264
264547,Entire home/apt,Condo in Chicago · ★4.84 · 2 bedrooms · 2 beds · 1.5 baths,163,2023-12-18,2024-12-16,1387948,-87.64315,41.88413
1921670,Entire home/apt,Rental unit in Chicago · ★4.86 · 2 bedrooms · 2 beds · 1 bath,77,2023-12-18,2024-12-16,9959757,-87.70783,41.94663
289689,Private room,Condo in Chicago · ★4.79 · 1 bedroom · 1 bed · 1 private bath,32,2023-12-18,2024-12-16,1376077,-87.65676,41.97806
1931880,Entire home/apt,Rental unit in Chicago · 1 bedroom · 1 bed · 1 bath,125,2023-12-18,2024-12-16,4995578,-87.6424,41.93564
290155,Entire home/apt,Rental unit in Chicago · ★4.84 · 3 bedrooms · 3 beds · 1.5 baths,130,2023-12-18,2024-12-16,1505878,-87.64046,41.82712
312192,Entire home/apt,Rental unit in Chicago · ★4.74 · 2 bedrooms · 3 beds · 1.5 baths,146,2023-12-18,2024-12-16,1505878,-87.63934,41.82741
1939467,Private room,Rental unit in Chicago · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,37,2023-12-18,2024-12-16,8292749,-87.73006782293396,41.95998186072804
345075,Private room,Condo in Chicago · ★4.96 · 1 bedroom · 1 bed · 1 private bath,100,2023-12-18,2024-12-16,1746524,-87.59459,41.80774
1944802,Entire home/apt,Rental unit in Chicago · ★4.69 · 2 bedrooms · 2 beds · 2 baths,200,2023-12-18,2024-12-16,3965428,-87.62024,41.85487
1984545,Entire home/apt,Townhouse in Chicago · ★4.0 · 3 bedrooms · 3 beds · 3.5 baths,242,2023-12-18,2024-12-16,4010906,-87.61324,41.81961
350347,Entire home/apt,Loft in Chicago · ★4.90 · 2 bedrooms · 2 beds · 2 baths,194,2023-12-18,2024-12-16,845242,-87.65492,41.94107
2011301,Private room,Home in Chicago · ★4.64 · 1 bedroom · 1 bed · 1 shared bath,47,2023-12-18,2024-12-16,5166793,-87.68678,41.92118
372929,Entire home/apt,Home in Chicago · ★4.85 · 3 bedrooms · 5 beds · 3 baths,234,2023-12-18,2024-12-16,1876597,-87.65704,41.89629
2062638,Entire home/apt,Condo in Chicago · ★4.79 · 3 bedrooms · 4 beds · 2 baths,224,2023-12-18,2024-12-16,1876597,-87.6572,41.89821
2103986,Private room,Townhouse in Chicago · ★4.82 · 1 bedroom · 1 bed · 1 shared bath,75,2023-12-18,2024-12-16,1838943,-87.63913,41.93338
2139407,Entire home/apt,Rental unit in Chicago · ★4.52 · 1 bedroom · 3 beds · 1 bath,68,2023-12-18,2024-12-16,10917550,-87.70648,41.88849
404792,Entire home/apt,Rental unit in Chicago · ★4.53 · 2 bedrooms · 3 beds · 1 bath,96,2023-12-18,2024-12-16,1844352,-87.66933,41.88947
2189522,Private room,Home in Chicago · ★4.95 · 1 bedroom · 1 bed · 1.5 shared baths,82,2023-12-18,2024-12-16,1559157,-87.68021,41.84828
2298310,Private room,Townhouse in Chicago · ★4.91 · 1 bedroom · 1 bed · 1 shared bath,38,2023-12-18,2024-12-16,1385332,-87.60244,41.80239
450648,Private room,Condo in Chicago · ★4.72 · 1 bedroom · 1 bed · 1 private bath,0,2023-12-18,2024-12-16,2204693,-87.62271,41.86765
464581,Entire home/apt,Rental unit in Chicago · ★4.81 · 1 bedroom · 2 beds · 1 bath,61,2023-12-18,2024-12-16,2308792,-87.69549,41.92518
2305194,Private room,Hostel in Chicago · ★4.47 · 1 bedroom · 4 beds · 11 shared baths,121,2023-12-18,2024-12-16,7391164,-87.65431,41.94594
507517,Entire home/apt,Guest suite in Chicago · ★4.92 · 1 bedroom · 1 bed · 1 bath,101,2023-12-18,2024-12-16,2501182,-87.6973,41.96678
2305230,Shared room,Hostel in Chicago · ★4.53 · 1 bedroom · 10 beds · 11 shared baths,30,2023-12-18,2024-12-16,7391164,-87.65431,41.94594
2320027,Entire home/apt,Rental unit in Chicago · ★4.58 · 1 bedroom · 1 bed · 1 bath,148,2023-12-18,2024-12-16,11848299,-87.68158,41.90798
542067,Entire home/apt,Rental unit in Chicago · ★4.88 · 2 bedrooms · 3 beds · 1 bath,150,2023-12-18,2024-12-16,2273840,-87.69989,41.93142
2396340,Entire home/apt,Rental unit in Chicago · ★4.91 · 3 bedrooms · 4 beds · 2 baths,182,2023-12-18,2024-12-16,5228189,-87.65608,41.89634
584590,Private room,Rental unit in Chicago · ★4.53 · 1 bedroom · 1 bed · 1 shared bath,20,2023-12-18,2024-12-16,2880338,-87.6831,41.96528
2479175,Entire home/apt,Rental unit in Chicago · ★4.77 · 1 bedroom · 1 bed · 1 bath,80,2023-12-18,2024-12-16,12681444,-87.69208,41.96316
634310,Private room,Condo in Chicago · ★4.91 · 1 bedroom · 1 bed · 1 shared bath,70,2023-12-18,2024-12-16,2915265,-87.66449,41.99688
2499596,Entire home/apt,Condo in Chicago · ★4.80 · 1 bedroom · 1 bed · 1.5 baths,79,2023-12-18,2024-12-16,2768314,-87.68096,41.90006
640841,Entire home/apt,Condo in Chicago · ★4.98 · 2 bedrooms · 2 beds · 2.5 baths,286,2023-12-18,2024-12-16,3200044,-87.67171,41.94256
651742,Private room,Home in Chicago · ★4.93 · 1 bedroom · 1 bed · 1 shared bath,75,2023-12-18,2024-12-16,2824576,-87.75747,41.99178
662034,Private room,Home in Chicago · ★4.92 · 1 bedroom · 1 bed · 1 shared bath,70,2023-12-18,2024-12-16,2824576,-87.75746,41.99405
2515629,Private room,Townhouse in Chicago · ★4.78 · 1 bedroom · 1 bed · 1 private bath,40,2023-12-18,2024-12-16,12877384,-87.69768,41.88152
668262,Private room,Condo in Chicago · ★4.41 · 1 bedroom · 1 bed · 1 shared bath,84,2023-12-18,2024-12-16,3382417,-87.64919,41.9331
2519442,Private room,Condo in Chicago · ★4.78 · 1 bedroom · 1 bed · 1.5 baths,80,2023-12-18,2024-12-16,7858620,-87.62382,41.79606
697634,Entire home/apt,Rental unit in Chicago · ★4.87 · 2 bedrooms · 2 beds · 1 bath,99,2023-12-18,2024-12-16,3574415,-87.6335,41.90437
726376,Entire home/apt,Rental unit in Chicago · ★4.70 · 1 bedroom · 1 bed · 1 bath,78,2023-12-18,2024-12-16,2658212,-87.65196,41.93903
2543231,Private room,Rental unit in Chicago · ★4.89 · 1 bedroom · 1 bed · 1 shared bath,65,2023-12-18,2024-12-16,2850286,-87.65132,41.85669
739495,Entire home/apt,Rental unit in Chicago · ★4.87 · 2 bedrooms · 2 beds · 1 bath,150,2023-12-18,2024-12-16,3867687,-87.68144,41.9765
2564678,Private room,Home in Chicago · ★3.67 · 1 bedroom · 1 bed · 1.5 baths,45,2023-12-18,2024-12-16,5654677,-87.70686,41.85295
2583929,Entire home/apt,Rental unit in Chicago · ★4.92 · 1 bedroom · 2 beds · 1 bath,145,2023-12-18,2024-12-16,3965428,-87.62299,41.85226
2661465,Entire home/apt,Rental unit in Chicago · ★4.71 · 1 bedroom · 1 bed · 1 bath,160,2023-12-18,2024-12-16,3965428,-87.61765,41.88765
2679456,Entire home/apt,Serviced apartment in Chicago · ★4.25 · 2 bedrooms · 1 bed · 2 baths,200,2023-12-18,2024-12-16,3965428,-87.62121,41.85255
2693387,Entire home/apt,Condo in Chicago · ★4.73 · 3 bedrooms · 8 beds · 2 baths,160,2023-12-18,2024-12-16,13783917,-87.67182,41.91387
755701,Entire home/apt,Rental unit in Chicago · ★4.75 · 3 bedrooms · 6 beds · 1 bath,86,2023-12-18,2024-12-16,3920450,-87.71836,41.93115
790934,Shared room,Rental unit in Chicago · ★4.66 · 1 bedroom · 1 bed · 2 shared baths,0,2023-12-18,2024-12-16,2907254,-87.68788,42.01653
863120,Private room,Condo in Chicago · ★4.93 · 3 bedrooms · 1 bed · 2.5 baths,85,2023-12-18,2024-12-16,4525503,-87.66079,41.92218
887038,Entire home/apt,Rental unit in Chicago · ★4.26 · 2 bedrooms · 2 beds · 1 bath,97,2023-12-18,2024-12-16,101521,-87.6573,41.92546
903996,Private room,Home in Chicago · ★4.99 · 1 bedroom · 1 bed · 1 private bath,110,2023-12-18,2024-12-16,4019426,-87.71212,41.92708
929914,Entire home/apt,Rental unit in Chicago · ★4.92 · 1 bedroom · 1 bed · 1 bath,128,2023-12-18,2024-12-16,5007980,-87.63896942138672,41.912410736083984
931105,Private room,Home in Chicago · ★4.91 · 1 bedroom · 1 bed · 1.5 shared baths,136,2023-12-18,2024-12-16,5015135,-87.69801,41.88538
2695259,Entire home/apt,Condo in Chicago · ★4.78 · 3 bedrooms · 3 beds · 1 bath,214,2023-12-18,2024-12-16,13793246,-87.6511,41.93308
949514,Private room,Condo in Chicago · ★4.84 · 1 bedroom · 1 bed · 1 private bath,0,2023-12-18,2024-12-16,5148353,-87.66685,41.9055
2715815,Entire home/apt,Rental unit in Chicago · ★4.76 · 1 bedroom · 2 beds · 1 bath,130,2023-12-18,2024-12-16,3965428,-87.62434,41.85361
956609,Entire home/apt,Rental unit in Chicago · 2 bedrooms · 2 beds · 2 baths,150,2023-12-18,2024-12-16,4091924,-87.67443,42.01612
960326,Entire home/apt,Condo in Chicago · ★4.95 · 3 bedrooms · 3 beds · 2 baths,185,2023-12-18,2024-12-16,5228189,-87.65659,41.89602
2730613,Entire home/apt,Guest suite in Chicago · ★4.82 · 1 bedroom · 4 beds · 1 bath,74,2023-12-18,2024-12-16,13975150,-87.67925,41.68451
966137,Entire home/apt,Home in Chicago · ★4.75 · 2 bedrooms · 2 beds · 1 bath,133,2023-12-18,2024-12-16,5016495,-87.67877,41.86801
979841,Private room,Home in Chicago · ★4.97 · 1 bedroom · 1 bed · 1.5 shared baths,89,2023-12-18,2024-12-16,5076708,-87.66853,42.00588
979926,Private room,Home in Chicago · ★4.97 · 1 bedroom · 1 bed · 1.5 shared baths,79,2023-12-18,2024-12-16,5076708,-87.66842,42.00477
979942,Private room,Home in Chicago · ★4.93 · 1 bedroom · 2 beds · 1.5 shared baths,79,2023-12-18,2024-12-16,5076708,-87.66807,42.00378
983640,Entire home/apt,Rental unit in Chicago · ★4.95 · 2 bedrooms · 3 beds · 1 bath,179,2023-12-18,2024-12-16,5076708,-87.67058,42.00456
2730673,Entire home/apt,Guest suite in Chicago · ★4.78 · 1 bedroom · 2 beds · 1 bath,89,2023-12-18,2024-12-16,2698691,-87.6139066998953,41.81998688389197
1020810,Entire home/apt,Rental unit in Chicago · ★4.68 · 1 bedroom · 1 bed · 1 bath,85,2023-12-18,2024-12-16,3843347,-87.62593,41.89395
1027463,Private room,Home in Chicago · ★4.36 · 1 bedroom · 1 bed · 1 shared bath,45,2023-12-18,2024-12-16,5654677,-87.70852,41.8544
1027741,Private room,Rental unit in Chicago · ★4.0 · 1 bedroom · 1 bed · 1.5 shared baths,0,2023-12-18,2024-12-16,5654677,-87.70802,41.85454
1083987,Entire home/apt,Rental unit in Chicago · ★5.0 · 1 bedroom · 2 beds · 1 bath,135,2023-12-18,2024-12-16,3965428,-87.62468,41.85395
1096191,Entire home/apt,Condo in Chicago · ★4.67 · Studio · 1 bed · 1 bath,60,2023-12-18,2024-12-16,6023157,-87.65236,41.97271
1171860,Entire home/apt,Rental unit in Chicago · ★4.75 · 1 bedroom · 1 bed · 1 bath,78,2023-12-18,2024-12-16,2658212,-87.64226,41.92655
2731202,Entire home/apt,Guest suite in Chicago · ★4.80 · 1 bedroom · 4 beds · 1 bath,79,2023-12-18,2024-12-16,13975150,-87.67913,41.68451
2819982,Entire home/apt,Serviced apartment in Chicago · ★4.57 · 2 bedrooms · 2 beds · 2 baths,200,2023-12-18,2024-12-16,3965428,-87.62204,41.85247
2824585,Private room,Home in Chicago · ★4.79 · 1 bedroom · 1 bed · 1 shared bath,45,2023-12-18,2024-12-16,13389580,-87.79831,41.9443
2832376,Entire home/apt,Rental unit in Chicago · ★4.67 · 1 bedroom · 2 beds · 1 bath,135,2023-12-18,2024-12-16,3965428,-87.62194,41.85434
2836339,Entire home/apt,Rental unit in Chicago · ★5.0 · 1 bedroom · 1 bed · 1 bath,155,2023-12-18,2024-12-16,3965428,-87.62238,41.89098
2844042,Entire home/apt,Rental unit in Chicago · ★4.92 · 1 bedroom · 1 bed · 1 bath,160,2023-12-18,2024-12-16,8813383,-87.68458,41.89288
2874486,Entire home/apt,Rental unit in Chicago · ★4.91 · 2 bedrooms · 2 beds · 2 baths,165,2023-12-18,2024-12-16,14692157,-87.66871,41.90026
1185749,Entire home/apt,Condo in Chicago · ★4.89 · 3 bedrooms · 4 beds · 1 bath,240,2023-12-18,2024-12-16,1664593,-87.6826,41.87033
2907500,Private room,Home in Chicago · ★4.85 · 1 bedroom · 1 bed · 1 shared bath,39,2023-12-18,2024-12-16,11231030,-87.72806,41.78225
3031898,Entire home/apt,Condo in Chicago · ★4.84 · 2 bedrooms · 1 bed · 2 baths,85,2023-12-18,2024-12-16,15442332,-87.56982,41.77206
1195259,Entire home/apt,Rental unit in Chicago · ★4.90 · 2 bedrooms · 2 beds · 1 bath,138,2023-12-18,2024-12-16,2899484,-87.67859,41.90914
1242709,Entire home/apt,Rental unit in Evanston · ★4.31 · 2 bedrooms · 2 beds · 1 bath,149,2023-12-18,2024-12-16,1254363,-87.67985,42.01938
3053081,Entire home/apt,Rental unit in Chicago · ★4.84 · 1 bedroom · 1 bed · 1 bath,112,2023-12-18,2024-12-16,1368870,-87.67449,41.91571
1304049,Private room,Home in Chicago · ★4.65 · 1 bedroom · 1 bed · 1 bath,103,2023-12-18,2024-12-16,7089017,-87.68284,41.86967
3068787,Entire home/apt,Rental unit in Chicago · ★4.94 · 2 bedrooms · 2 beds · 2 baths,174,2023-12-18,2024-12-16,7780304,-87.6784,41.96136
3083343,Entire home/apt,Rental unit in Chicago · ★4.72 · 2 bedrooms · 3 beds · 1 bath,114,2023-12-18,2024-12-16,209564,-87.67047882080078,41.91533279418945
1321332,Entire home/apt,Home in Chicago · ★4.84 · 4 bedrooms · 11 beds · 3.5 baths,761,2023-12-18,2024-12-16,946954,-87.66946,41.93089
3172794,Entire home/apt,Home in Chicago · ★4.89 · 6 bedrooms · 9 beds · 2.5 baths,1093,2023-12-18,2024-12-16,16090300,-87.69335,41.91634
1356190,Private room,Home in Chicago · ★4.97 · 1 bedroom · 1 bed · 1 private bath,90,2023-12-18,2024-12-16,3069675,-87.68962,41.91984
1361421,Private room,Hostel in Chicago · ★4.43 · 1 bedroom · 1 bed · 11 shared baths,120,2023-12-18,2024-12-16,7391164,-87.65461,41.9459
3267902,Entire home/apt,Rental unit in Chicago · ★4.92 · 1 bedroom · 3 beds · 1 bath,89,2023-12-18,2024-12-16,2676165,-87.66697,41.98908
1392594,Entire home/apt,Home in Chicago · ★4.62 · 3 bedrooms · 3 beds · 2 baths,175,2023-12-18,2024-12-16,7528098,-87.67407,41.96909
1417110,Entire home/apt,Condo in Chicago · 2 bedrooms · 2 beds · 1 bath,0,2023-12-18,2024-12-16,7622794,-87.67227,41.97516
3292054,Entire home/apt,Home in Chicago · ★4.95 · 3 bedrooms · 4 beds · 3 baths,263,2023-12-18,2024-12-16,5960265,-87.65621,41.94278
3308694,Entire home/apt,Rental unit in Chicago · ★4.88 · 2 bedrooms · 3 beds · 1 bath,299,2023-12-18,2024-12-16,16707041,-87.6438,41.88711
3962072,Entire home/apt,Loft in Chicago · ★4.76 · 2 bedrooms · 2 beds · 1 bath,92,2023-12-18,2024-12-16,20528154,-87.68664,41.88503
